Quadro IV.11 >> Etapas/dia em automóvel (condutor) por tipo de estacionamento no local de estudo e dimensão do agregado,,,,,,,,,,,
,,,,,,Unidade: N.º,,,,Índice,
Dim. agregado,Total,1,2,3,4, 5 ou mais ,,,,,
Estac. Estudo,,,,,,,,,,,
,,,,,,,,,,,
AML,"185,941","9,971","21,035","52,385","78,974","23,575",,,,,
Gratuito,"120,054","5,887","12,072","35,741","52,503","13,851",,,,,
Rua ou outro espaço de acesso público,"69,623","2,930","6,655","23,064","26,342","10,633",,,,,
Local da escola/estabelecimento de ensino ou espaço associado,"50,431","2,957","5,417","12,678","26,161","3,218",,,,,
Pago,"54,941","3,642","8,615","14,814","20,171","7,699",,,,,
Dístico de residente ou estacionamento com preço reduzido,"11,545",222,"2,061","3,976","3,852","1,433",,,,,
Parquímetro ou estacionamento a preço normal,"43,396","3,420","6,554","10,838","16,319","6,266",,,,,
Outras situações,"10,946",441,348,"1,830","6,301","2,025",,,,,
,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
