Quadro VII.10 >> Densidade de deslocações em horário laboral (09:00 – 17:00) por município de destino,,,,,,,,
,,,,Índice,,,,
,Unidade: %,,,,,,,
Município de destino,Horário laboral,,,,,,,
,,,,,,,,
,,,,,,,,
AML, 867,,,,,,,
Alcochete, 129,,,,,,,
Almada,2 122,,,,,,,
Amadora,7 247,,,,,,,
Barreiro,1 755,,,,,,,
Cascais,1 860,,,,,,,
Lisboa,6 316,,,,,,,
Loures,1 020,,,,,,,
Mafra, 207,,,,,,,
Moita,1 089,,,,,,,
Montijo, 141,,,,,,,
Odivelas,4 701,,,,,,,
Oeiras,3 616,,,,,,,
Palmela, 137,,,,,,,
Seixal,1 535,,,,,,,
Sesimbra, 250,,,,,,,
Setúbal, 564,,,,,,,
Sintra, 864,,,,,,,
Vila Franca de Xira, 330,,,,,,,
,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
