Quadro VI.4 >> Proporção de deslocações intermunicipais por motivo de trabalho e município de destino ,,,,
,,,,Índice
,Unidade: %,,,
Município de destino,Proporção de deslocações intermunicipais - motivo trabalho,,,
,,,,
AML,49.7,,,
Alcochete,69.9,,,
Almada,38.3,,,
Amadora,54.4,,,
Barreiro,40.1,,,
Cascais,33.4,,,
Lisboa,60.3,,,
Loures,54.8,,,
Mafra,13.8,,,
Moita,30.4,,,
Montijo,37.5,,,
Odivelas,55.8,,,
Oeiras,66.4,,,
Palmela,59.5,,,
Seixal,32.1,,,
Sesimbra,20.2,,,
Setúbal,29.7,,,
Sintra,28.0,,,
Vila Franca de Xira,25.4,,,
,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,
"Nota: A proporção de deslocações intermunicipais é calculada face ao total de deslocações intrametropolitanas com destino em cada município e inclui as deslocações intramunicipais e as deslocações referentes a entradas no município. 

",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
