Quadro IV.10 >> Etapas/dia em automóvel (condutor) por tipo de estacionamento no local de trabalho e dimensão do agregado,,,,,,,,,,,
,,,,,,Unidade: N.º,,,,Índice,
Dim. agregado,Total,1,2,3,4, 5 ou mais ,,,,,
Estac. Trabalho,,,,,,,,,,,
,,,,,,,,,,,
AML,"2,379,852","149,949","432,536","722,198","792,390","282,779",,,,,
Gratuito,"2,100,916","133,338","378,626","637,296","695,964","255,692",,,,,
Rua ou outro espaço de acesso público,"1,096,577","63,278","207,962","347,487","349,431","128,419",,,,,
Local de trabalho ou espaço associado,"1,004,338","70,060","170,664","289,809","346,532","127,273",,,,,
Pago,"228,557","13,295","44,894","70,810","78,361","21,197",,,,,
Dístico de residente ou estacionamento com preço reduzido,"70,765","3,441","13,232","22,455","30,043","1,594",,,,,
Parquímetro ou estacionamento a preço normal,"157,792","9,854","31,662","48,355","48,318","19,603",,,,,
Outras situações,"50,379","3,316","9,015","14,092","18,065","5,890",,,,,
,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
