Quadro IV.4 >> Deslocações/dia por condição perante o trabalho e tipo de transporte principal utilizado,,,,,,,,,,,,,
,,,,,,,,,,,,Índice,
Tipo transp.,Total,TI,TC,OT,Total,TI,TC,OT,,,,,
CPT,N.º,,,,%,,,,,,,,
,,,,,,,,,,,,,
AML,"5,385,300","4,531,437","833,529","20,333",100.0,84.1,15.5,0.4,,,,,
Trabalha,"2,901,444","2,420,849","470,679","9,916",100.0,83.4,16.2,0.3,,,,,
Estuda,"375,479","245,476","129,701",302,100.0,65.4,34.5,0.1,,,,,
Desempregado(a),"334,437","291,679","42,174",584,100.0,87.2,12.6,0.2,,,,,
Reformado(a),"1,028,731","902,626","119,619","6,486",100.0,87.7,11.6,0.6,,,,,
Doméstico(a),"94,591","85,508","8,821",262,100.0,90.4,9.3,0.3,,,,,
Outros inativos,"66,096","57,064","6,496","2,536",100.0,86.3,9.8,3.8,,,,,
Outras situações,"584,521","528,234","56,040",247,100.0,90.4,9.6,0.0,,,,,
,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
