Quadro V.1 >> Proporção de deslocações intramunicipais por município de destino ,,,,,
,,,,,Índice
,Unidade: %,,,,
Município de destino,Proporção de deslocações intramunicipais,,,,
,,,,,
AML,65.4,,,,
Alcochete,56.3,,,,
Almada,68.5,,,,
Amadora,57.1,,,,
Barreiro,65.7,,,,
Cascais,71.3,,,,
Lisboa,63.4,,,,
Loures,58.1,,,,
Mafra,80.4,,,,
Moita,66.2,,,,
Montijo,68.5,,,,
Odivelas,58.6,,,,
Oeiras,54.4,,,,
Palmela,62.3,,,,
Seixal,68.3,,,,
Sesimbra,68.9,,,,
Setúbal,79.9,,,,
Sintra,69.3,,,,
Vila Franca de Xira,74.9,,,,
,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,
"Nota: A proporção de deslocações intramunicipais é calculada face ao total de deslocações intrametropolitanas, que inclui as deslocações intramunicipais e as deslocações referentes a entradas no município. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
