"Quadro IV.3 >> Deslocações/dia por sexo e escalão etário, segundo o tipo de transporte principal utilizado",,,,,,,,,,,,,
,,,,,,,,,,,,Índice,
Tipo transp.,Total,TI,TC,OT,Total,TI,TC,OT,,,,,
Sexo / Esc. etário,N.º,,,,%,,,,,,,,
,,,,,,,,,,,,,
AML,"5,385,300","4,531,437","833,529","20,333",100,84.1,15.5,0.4,,,,,
Masculino,"2,583,437","2,241,367","329,900","12,170",100,86.8,12.8,0.5,,,,,
6 a 24 anos,"557,636","449,617","107,557",463,100,80.6,19.3,0.1,,,,,
25 a 44 anos,"824,565","719,084","101,372","4,108",100,87.2,12.3,0.5,,,,,
45 a 64 anos,"751,902","670,016","78,101","3,785",100,89.1,10.4,0.5,,,,,
65 a 84 anos,"449,334","402,650","42,870","3,814",100,89.6,9.5,0.8,,,,,
Feminino,"2,801,862","2,290,070","503,629","8,163",100,81.7,18.0,0.3,,,,,
6 a 24 anos,"547,530","422,760","124,385",385,100,77.2,22.7,0.1,,,,,
25 a 44 anos,"936,378","781,183","154,012","1,183",100,83.4,16.4,0.1,,,,,
45 a 64 anos,"845,268","689,396","152,736","3,136",100,81.6,18.1,0.4,,,,,
65 a 84 anos,"472,687","396,732","72,496","3,459",100,83.9,15.3,0.7,,,,,
,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
