Quadro V.2 >> Proporção de deslocações intra-zona por zona de mobilidade de destino,,,,
,,,,Índice
,Unidade: %,,,
Zona de mobilidade,Proporção de deslocações intra-zona,,,
,,,,
AML,47.4,,,
Alcochete,56.2,,,
Almada - Zona 1,40.7,,,
Almada - Zona 2,46.1,,,
Almada - Zona 3,34.9,,,
Almada - Zona 4,35.8,,,
Amadora - Zona 1,45.7,,,
Amadora - Zona 2,39.5,,,
Barreiro - Zona 1,33.5,,,
Barreiro - Zona 2,59.6,,,
Cascais - Zona 1,49.1,,,
Cascais - Zona 2,49.1,,,
Lisboa - Zona 1,23.2,,,
Lisboa - Zona 2,36.3,,,
Lisboa - Zona 3,38.5,,,
Lisboa - Zona 4,32.8,,,
Lisboa - Zona 5,36.9,,,
Loure - Zona 4,55.5,,,
Loures - Zona 1,37.2,,,
Loures - Zona 2,52.0,,,
Loures - Zona 3,26.9,,,
Mafra - Zona 1,56.8,,,
Mafra - Zona 2,79.5,,,
Moita,66.2,,,
Montijo - Zona 1,67.5,,,
Montijo - Zona 2,69.0,,,
Odivelas  - Zona 2,53.5,,,
Odivelas - Zona 1,26.0,,,
Odivelas - Zona 3,40.2,,,
Oeiras - Zona 1,22.9,,,
Oeiras - Zona 2,50.3,,,
Oeiras - Zona 3,47.1,,,
Palmela - Zona 1,47.2,,,
Palmela - Zona 2,62.9,,,
Seixal - Zona 1,25.3,,,
Seixal - Zona 2,64.9,,,
Seixal - Zona 3,38.5,,,
Sesimbra - Zona 1,51.4,,,
Sesimbra - Zona 2,74.8,,,
Setúbal - Zona 1,74.8,,,
Setúbal - Zona 2,36.6,,,
Setúbal - Zona 3,55.7,,,
Sintra - Zona 1,58.0,,,
Sintra - Zona 2,44.3,,,
Sintra - Zona 3,52.9,,,
Sintra - Zona 4,42.5,,,
Sintra - Zona 5,55.3,,,
Vila Franca de Xira - Zona 1,45.6,,,
Vila Franca de Xira - Zona 2,57.5,,,
Vila Franca de Xira - Zona 3,73.3,,,
,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,
"Nota: A proporção de deslocações intra-zona é calculada face ao total de deslocações intrametropolitanas, que inclui as deslocações intra-zona e as restantes deslocações referentes a entradas na zona. ",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
