Quadro VII.2 >>  Deslocações/dia realizadas por principal motivo e hora de chegada nos dias não úteis,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Unidade: N.º,,,,Índice,,,,,,,,
Motivo,Trabalho,,Estudo,,Acompanhar familiares/amigos,,Lazer,,Compras,,Assuntos pessoais,,Outra atividade,,Regresso a casa,,,,,,,,,,,,
Hora de chegada,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00, 327,, 60,§, 210,§, 92,§, 315,, 388,§,x,,18 212,,,,,,,,,,, ,
2:00, 117,,x,, 121,§,x,, 71,,x,,x,,8 488,,,,,,,,,,,,
3:00, 114,§,x,,x,,x,, 195,§,x,,x,,5 910,,,,,,,,,,,,
4:00,x,,x,,x,,x,, 225,§,x,,x,,1 519,,,,,,,,,,,,
5:00, 358,,x,,x,,x,,x,,x,,x,, 777,,,,,,,,,,,,
6:00,3 698,,x,, 177,§,x,,x,,x,,x,, 187,§,,,,,,,,,,,
7:00,9 753,, 222,§,x,, 168,,x,,x,, 114,§, 523,,,,,,,,,,,,
8:00,18 382,, 767,,2 213,,1 893,§,1 724,, 579,,x,, 936,,,,,,,,,,,,
9:00,20 374,,3 809,,4 672,,6 414,,4 663,,3 379,, 268,,4 257,,,,,,,,,,,,
10:00,18 011,,1 851,,3 741,,18 426,,31 600,,6 020,, 581,,10 060,,,,,,,,,,,,
11:00,9 403,,1 394,,2 562,,25 398,,54 002,,15 678,, 675,,30 313,,,,,,,,,,,,
12:00,5 116,, 394,,2 459,,15 960,,32 125,,13 949,, 460,,53 129,,,,,,,,,,,,
13:00,4 260,, 212,,2 514,,7 124,,23 535,,11 533,, 445,,56 808,,,,,,,,,,,,
14:00,3 509,, 369,,4 381,,5 362,,21 198,,10 130,, 518,,42 221,,,,,,,,,,,,
15:00,4 913,, 710,,3 503,,21 455,,29 425,,10 683,, 225,,24 037,,,,,,,,,,,,
16:00,5 362,, 799,,4 818,,19 980,,26 490,,15 213,, 502,,39 693,,,,,,,,,,,,
17:00,4 136,, 682,,5 273,,10 643,,19 434,,11 229,,1 269,,54 409,,,,,,,,,,,,
18:00,3 395,, 171,,4 377,,9 697,,12 683,,5 625,, 274,,62 310,,,,,,,,,,,,
19:00,2 474,, 566,,3 247,,7 455,,7 358,,4 748,, 527,,67 881,,,,,,,,,,,,
20:00,1 392,, 237,,2 821,,4 551,,5 539,,4 131,, 285,§,58 587,,,,,,,,,,,,
21:00, 233,, 75,§,1 335,,4 791,,6 467,,3 445,, 54,,42 135,,,,,,,,,,,,
22:00,x,, 414,,1 520,,2 745,,2 946,, 891,, 303,§,18 550,,,,,,,,,,,,
23:00,1 421,, 68,§,1 221,, 732,,1 998,, 446,§,x,,19 957,,,,,,,,,,,,
0:00, 511,, 18,§, 501,, 622,,1 331,, 323,,x,,20 256,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
