Quadro VI.2 >> Proporção de deslocações intermunicipais por município de destino,,,,
,,,,Índice
,Unidade: %,,,
Município de destino,Proporção de deslocações intermunicipais,,,
,,,,
AML,34.5,,,
Alcochete,43.2,,,
Almada,30.6,,,
Amadora,38.6,,,
Barreiro,33.7,,,
Cascais,26.2,,,
Lisboa,45.9,,,
Loures,36.8,,,
Mafra,13.7,,,
Moita,22.4,,,
Montijo,30.4,,,
Odivelas,31.8,,,
Oeiras,46.6,,,
Palmela,39.4,,,
Seixal,22.6,,,
Sesimbra,21.3,,,
Setúbal,19.5,,,
Sintra,20.8,,,
Vila Franca de Xira,14.7,,,
,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,
"Nota: Os dados não incluem as deslocações por motivo “regresso a casa”. A proporção de deslocações intermunicipais é calculada face ao total de deslocações intrametropolitanas, que inclui as deslocações intramunicipais e as deslocações referentes a entradas no município. ",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
