Quadro V.5 >> Proporção de deslocações intramunicipais por motivo de compras ou lazer e município de destino ,,,,
,,,,Índice
,Unidade: %,,,
Município de destino,Proporção de deslocações intramunicipais - motivo compras ou lazer,,,
,,,,
AML,75.7,,,
Alcochete,77.5,,,
Almada,74.3,,,
Amadora,68.9,,,
Barreiro,65.2,,,
Cascais,79.6,,,
Lisboa,70.6,,,
Loures,77.1,,,
Mafra,82.2,,,
Moita,79.1,,,
Montijo,66.6,,,
Odivelas,83.9,,,
Oeiras,68.1,,,
Palmela,74.3,,,
Seixal,83.4,,,
Sesimbra,80.7,,,
Setúbal,87.3,,,
Sintra,80.3,,,
Vila Franca de Xira,90.8,,,
,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,
"Nota: A proporção de deslocações intramunicipais é calculada face ao total de deslocações intrametropolitanas, que inclui as deslocações intramunicipais e as deslocações referentes a entradas no município. ",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
