Quadro VII.11 >> Densidade de deslocações noturnas (19:00 – 04:00) por município de destino,,,,,,,,
,,,,Índice,,,,
,Unidade: %,,,,,,,
Município de destino,Noturnas,,,,,,,
,,,,,,,,
,,,,,,,,
AML, 224,,,,,,,
Alcochete, 45,,,,,,,
Almada, 589,,,,,,,
Amadora,2 082,,,,,,,
Barreiro, 506,,,,,,,
Cascais, 538,,,,,,,
Lisboa,1 518,,,,,,,
Loures, 284,,,,,,,
Mafra, 49,,,,,,,
Moita, 202,,,,,,,
Montijo, 43,,,,,,,
Odivelas,1 365,,,,,,,
Oeiras, 845,,,,,,,
Palmela, 40,,,,,,,
Seixal, 343,,,,,,,
Sesimbra, 65,,,,,,,
Setúbal, 105,,,,,,,
Sintra, 256,,,,,,,
Vila Franca de Xira, 78,,,,,,,
,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
