Quadro VI.8 >> Proporção de deslocações intermunicipais por motivo de compras ou lazer e município de destino ,,,,
,,,,Índice
,Unidade: %,,,
Município de destino,Proporção de deslocações intermunicipais - motivo compras ou lazer,,,
,,,,
AML,24.3,,,
Alcochete,22.5,,,
Almada,25.7,,,
Amadora,31.1,,,
Barreiro,34.8,,,
Cascais,20.4,,,
Lisboa,29.4,,,
Loures,22.9,,,
Mafra,17.8,,,
Moita,20.9,,,
Montijo,33.4,,,
Odivelas,16.1,,,
Oeiras,31.9,,,
Palmela,25.7,,,
Seixal,16.6,,,
Sesimbra,19.3,,,
Setúbal,12.7,,,
Sintra,19.7,,,
Vila Franca de Xira,9.2,,,
,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,
"Nota: A proporção de deslocações intermunicipais é calculada face ao total de deslocações intrametropolitanas com destino em cada município e inclui as deslocações intramunicipais e as deslocações referentes a entradas no município. 

",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
