"Quadro VI.9 >> Proporção de deslocações intermunicipais por motivo de compras ou lazer para os três principais municípios de destino, por município de origem ",,,,,,,,,,,,
,,,,,,,,,,,,Índice
,,,,,,,,,,,,
Município de origem,Primeiro munícipio de destino,,,Segundo município de destino,,,Terceiro município de destino,,,,,
,Designação,%,,Designação,%,,Designação,%,,,,
,,,,,,,,,,,,
Alcochete,Montijo,64.7,§,Barreiro,16.4,,Lisboa,12.3,§,,,
Almada,Seixal,38.5,,Lisboa,38.3,,Sintra,8.1,,,,
Amadora,Lisboa,45.6,,Sintra,21.8,,Oeiras,20.6,,,,
Barreiro,Moita,41.0,,Montijo,21.6,,Lisboa,13.5,,,,
Cascais,Oeiras,47.6,,Lisboa,29.0,,Sintra,15.7,,,,
Lisboa,Loures,22.6,,Amadora,16.3,,Oeiras,14.3,,,,
Loures,Lisboa,65.2,,Amadora,11.4,,Odivelas,7.0,,,,
Mafra,Lisboa,51.8,,Sintra,18.0,,Loures,17.7,,,,
Moita,Barreiro,64.7,,Palmela,16.8,§,Lisboa,12.9,,,,
Montijo,Setúbal,29.9,,Alcochete,20.3,,Almada,15.9,§,,,
Odivelas,Lisboa,49.8,,Amadora,18.8,,Loures,12.6,,,,
Oeiras,Lisboa,47.9,,Cascais,27.6,,Sintra,13.0,,,,
Palmela,Setúbal,33.6,,Montijo,26.4,,Moita,17.0,,,,
Seixal,Almada,46.1,,Lisboa,15.9,,Barreiro,6.5,,,,
Sesimbra,Seixal,35.7,,Barreiro,27.4,,Setúbal,18.9,,,,
Setúbal,Palmela,43.4,,Lisboa,10.6,,Moita,10.3,§,,,
Sintra,Lisboa,33.9,,Amadora,29.0,,Cascais,13.9,,,,
Vila Franca de Xira,Lisboa,72.1,,Loures,12.4,,Almada,7.4,§,,,
,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,
Nota: No cálculo deste indicador não foram consideradas as deslocações intramunicipais. ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
