"Quadro VII.4 >>  Distribuição do número de deslocações por principal motivo de deslocação nos dias úteis, segundo o município de destino ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,Unidade: %,,,,Índice,,,,,,,,
Motivo,Total,Trabalho,Estudo,Acompanhar familiares/amigos,Lazer,Compras,Assuntos pessoais,Outra atividade,,,,,,,,,,,,
Município de destino,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AML,100.0,36.1,13.7,18.5,7.1,14.1,9.9,0.5,,,,,,,,,,,,
Alcochete,100.0,44.9,12.8,20.4,4.9,9.7,6.8,0.5,,,,,,,,,,,,
Almada,100.0,26.9,14.3,22.0,6.8,16.4,13.3,0.2,,,,,,,,,,,,
Amadora,100.0,30.3,13.1,17.2,6.7,22.9,9.2,0.5,,,,,,,,,,,,
Barreiro,100.0,26.2,15.6,23.4,8.1,11.4,14.0,1.4,,,,,,,,,,,,
Cascais,100.0,33.0,11.0,22.8,7.7,12.0,12.9,0.6,,,,,,,,,,,,
Lisboa,100.0,45.1,12.6,13.6,6.9,11.2,10.2,0.4,,,,,,,,,,,,
Loures,100.0,37.0,11.8,21.3,6.1,13.4,9.3,1.1,,,,,,,,,,,,
Mafra,100.0,30.3,17.0,26.2,4.8,14.1,7.3,0.4,,,,,,,,,,,,
Moita,100.0,20.6,20.6,22.4,9.0,17.0,9.9,0.5,§,,,,,,,,,,,
Montijo,100.0,29.0,15.6,20.7,8.0,19.5,6.8,0.5,,,,,,,,,,,,
Odivelas,100.0,24.8,15.8,24.2,7.0,19.5,8.2,0.5,,,,,,,,,,,,
Oeiras,100.0,40.9,11.9,16.6,8.5,14.1,7.3,0.6,,,,,,,,,,,,
Palmela,100.0,37.8,13.6,21.4,7.2,11.5,7.9,0.7,,,,,,,,,,,,
Seixal,100.0,28.8,16.8,20.1,8.3,18.1,7.6,0.3,,,,,,,,,,,,
Sesimbra,100.0,31.4,12.9,27.7,5.7,14.2,7.2,0.8,§,,,,,,,,,,,
Setúbal,100.0,28.4,15.6,20.9,6.3,15.8,12.8,0.2,,,,,,,,,,,,
Sintra,100.0,31.2,15.3,21.7,7.4,14.3,9.3,0.8,,,,,,,,,,,,
Vila Franca de Xira,100.0,30.9,17.1,18.7,6.6,16.8,9.7,0.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,,,
"Nota: Não inclui o motivo ""regresso a casa"".",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
