Quadro VII.9 >> Densidade de deslocações diurnas (04:00 – 19:00) por município de destino,,,,,,,,
,,,,Índice,,,,
,Unidade: %,,,,,,,
Município de destino,Diurnas,,,,,,,
,,,,,,,,
,,,,,,,,
AML,1 512,,,,,,,
Alcochete, 238,,,,,,,
Almada,3 637,,,,,,,
Amadora,12 089,,,,,,,
Barreiro,3 097,,,,,,,
Cascais,3 259,,,,,,,
Lisboa,11 831,,,,,,,
Loures,1 772,,,,,,,
Mafra, 380,,,,,,,
Moita,1 580,,,,,,,
Montijo, 235,,,,,,,
Odivelas,7 921,,,,,,,
Oeiras,6 309,,,,,,,
Palmela, 240,,,,,,,
Seixal,2 462,,,,,,,
Sesimbra, 393,,,,,,,
Setúbal, 922,,,,,,,
Sintra,1 491,,,,,,,
Vila Franca de Xira, 580,,,,,,,
,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
