Quadro III.6 >> Distribuição da população por escalão de despesa média mensal com portagens do agregado e por condição perante o trabalho,,,,,,,,,,,,,,,,,,
,,,,,,,,Unidade: %,,,,Índice,,,,,,
Esc. despesa,Total,"Não há despesa, habitualmente",Menos de 5 euros,Entre 5 e menos de 10 euros,Entre 10 e menos de 15 euros,Entre 15 e menos de 30 euros,Entre 30 e menos de 60 euros,60 ou mais euros,,,,,,,,,,
CPT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AML,100.0,57.8,6.4,8.5,6.1,8.5,7.2,5.5,,,,,,,,,,
Trabalha,100.0,52.1,6.7,9.4,6.3,9.6,9.0,7.0,,,,,,,,,,
Estuda,100.0,55.0,5.5,8.3,6.5,10.0,8.4,6.4,,,,,,,,,,
Desempregado(a),100.0,68.6,5.1,8.0,5.4,6.0,4.0,2.8,,,,,,,,,,
Reformado(a),100.0,66.6,6.7,7.9,5.7,7.0,3.9,2.2,,,,,,,,,,
Doméstico(a),100.0,65.6,5.3,6.0,7.3,7.0,4.7,4.1,,,,,,,,,,
Outros inativos,100.0,74.7,3.9,6.3,4.3,4.3,4.2,2.3,,,,,,,,,,
Outras situações,100.0,55.0,6.4,7.8,6.5,8.3,8.4,7.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
